Vöyri,92.4
Kristiinankaupunki,130
Oulainen,147.5
Kyyjärvi,45
Pori,93
Kurikka,148.5
Kurikka,165
Siikajoki,74
Ii,29.5
Ii,70.8
Närpiö,40.4
Kristiinankaupunki,380
Perho,84
Karstula,29.5
Karstula,30
Oulainen,41.3
Haapajärvi,86.8
Pudasjärvi,76.5
Kristiinankaupunki,56
Isojoki,33
Pyhäjärvi,93
Hyrynsalmi,46
Hyrynsalmi,30
Alajärvi,78
Alajärvi,143
Vöyri,29.5
Somero,17.2
Karvia,30
Kalajoki,79.8
Kemijärvi,96.7
Kinnula,45.6
Kyyjärvi,45.6
Saarijärvi,29
Siikajoki,120
Mustasaari,83
Siikajoki,2
Kalajoki,39.9
Kannus,48
Saarijärvi,38.5
Sievi,44
Närpiö,102
Soini,30
Humppila,26
Isojoki,86
Kurikka,44
Kurikka,34
Kurikka,48
Kristiinankaupunki,250
Haapavesi,42
Maalahti,29
Kalajoki,404
Haapavesi,48
Raahe,68
Vaala,132
Siikalatva,43
Pyhäjoki,57
Kalajoki,40
Pyhäjoki,88
Pyhäjoki,188
Pyhäjoki,56
Eckerö,42
Sastamala,13
Karstula,44
Posio,126
Uusikaarlepyy,30.1
Kauhajoki,37.8
Haapajärvi,103.2
Sievi,30
Vöyri,30.1
Pihtipudas,30
Kajaani,211
Pyhäjoki,21.5
Närpiö,81
Liminka,19.2
Maalahti,30
Maalahti,22.5
Marttila,27
Närpiö,90
Kurikka,30.1
Pyhäjoki,91
Ii,21
Kannus,59
Kokkola,14.4
Jalasjärvi,6.9
Lapua,4.2
Leppävirta,10.4
Oulu,3
Pyhäjoki,26.4
Raahe,34
Raahe,48.3
Teuva,124
Uusikaupunki,9
Hyrynsalmi,60
Isojoki,57
Uusikaarlepyy,7
Jämijärvi,27
Kokkola,2.4
Kristiinankaupunki,3.5
Simo,10
Kristiinankaupunki,117
Simo,38
Vöyri,2.5
Alavieska,29.7
Jokioinen,29
Ilmajoki,56.1
Kalajoki,6.9
Kalajoki,92
Kalajoki,73
Kankaanpää,27
Karvia,24
Kauhajoki,22.5
Kittilä,51
Lapua,21
Perho,27
Kuusamo,23.1
Raahe,33
Hyrynsalmi,30
Ii,54
Simo,196
Alavieska,19.8
Pyhäjoki,33
Haapajärvi,29.1
Kalajoki,36
Merijärvi,13.2
Seinäjoki,7.5
Siikainen,26.4
Siikajoki,24.3
Sodankylä,27
Vaasa,52.8
Ylivieska,29.7
Ii,19.2
Tornio,36
Raahe,6
Ilmajoki,3
Kauhava,2.5
Kauhajoki,2.5
Luhanka,18
Närpiö,15
Raahe,33
Salo,15
Seinäjoki,1.5
Simo,18
Pori,54
Kankaanpää,22
Ilmajoki,0.2
Lappeenranta,21
Merijärvi,14
Raahe,21
Ruovesi,0.6
Salo,0.6
Sauvo,0.6
Tervola,30
Teuva,3
Huittinen,0.9
Hamina,8
Huittinen,3.6
Ii,34
Ikaalinen,0.6
Kemi,2
Simo,9
Simo,9
Vaasa,3.6
Eura,0.5
Ikaalinen,1
Jalasjärvi,0.75
Tornio,45
Hamina,6
Kauhava,0.5
Pori,44
Alavus,0.6
Kurikka,0.75
Pori,3
Pori,2
Kemiönsaari,6
Lemland,14
Eurajoki,0.5
Kemi,42
Luoto,1
Pori,3
Sastamala,0.225
Sottunga,0.66
Hanko,8
Sastamala,0.225
Raahe,21
Huittinen,75
Jalasjärvi,0.22
Lumparland,1.2
Kotka,7
Oulu,15.6
Pori,13
Föglö,0.6
Muonio,3
Lumijoki,2
Finström,1.1
Vårdö,0.5
Lemland,2.4
Kökar,0.5
Hailuoto,2
Ii,1.8
Enontekiö,1.5
Ii,7
